Canal,Formato,Tienda,Marca,Genero,Tipo,Precio_Lista,Cantidad_Inventario,Cantidad_Ventas,Despacho
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,BUZO,2699900.0,2.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISA,849900.0,5.0,0.0,7.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISA,999900.0,6.0,0.0,9.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISA,1099900.0,3.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISA,1199900.0,8.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISA,1349900.0,2.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISA,1699900.0,2.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISA,1949900.0,3.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISA,3299900.0,1.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISETA,349900.0,11.0,0.0,71.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISETA,399900.0,14.0,0.0,26.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISETA,449900.0,23.0,0.0,56.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISETA,499900.0,27.0,0.0,63.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISETA,549900.0,11.0,0.0,30.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISETA,599900.0,6.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISETA,649900.0,13.0,0.0,22.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISETA,699900.0,4.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISETA,799900.0,9.0,0.0,22.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CAMISETA,1099900.0,2.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,1699900.0,3.0,0.0,8.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,1799900.0,3.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,1949900.0,1.0,0.0,6.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,2099900.0,2.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,2199900.0,7.0,0.0,11.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,2399900.0,9.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,2549900.0,3.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,2699900.0,6.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,2799900.0,5.0,0.0,5.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,3899900.0,2.0,0.0,7.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,4299900.0,3.0,0.0,6.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,4799900.0,1.0,0.0,5.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,4999900.0,1.0,0.0,6.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CHAQUETA,5799900.0,4.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CORREA,799900.0,8.0,0.0,23.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,CORREA,849900.0,3.0,0.0,6.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,ENTERIZO,2099900.0,4.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,FRAGANCIA,329900.0,3.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,FRAGANCIA,335900.0,1.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,FRAGANCIA,372900.0,2.0,0.0,13.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,FRAGANCIA,379900.0,2.0,0.0,8.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,FRAGANCIA,389900.0,1.0,0.0,8.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,MASCULINO,FRAGANCIA,409900.0,4.0,0.0,10.0
