CodigoAlmacen,nombrealmacen,Marca,Genero,Tipo,f126_precio,Despacho
CDEDM,CENTRO DE DISTRIBUCION EDM,DIESEL ADULTO,MASCULINO,CAMISA,1799900.0,4.0
PO317,PILATOS UNICENTRO PEREIRA,NEW ERA,UNISEX,GORRO,179990.0,2.0
PL335,PILATOS OUTLET AMERICAS 2 BOG,REPLAY,MASCULINO,TENIS,849900.0,9.0
PF183,PILATOS IPIALES,SUPERDRY,MASCULINO,CAMISETA,219900.0,11.0
PF190,PILATOS QUIBDO,CLEMONT,MASCULINO,CAMISETA,320000.0,5.0
BBC3 ,BROKEN CHAINS CALI,MONOIC,UNISEX,CORREA,235000.0,5.0
MLM09,MFG CHIPICHAPE CALI,MARITHE FRANCOIS GIRBAUD,MASCULINO,CHAQUETA,699900.0,4.0
PL132,PILATOS SANTAFE MEDELLIN,NIKE,FEMENINO,TENIS,969950.0,15.0
ML602,SUPERDRY EL TESORO MEDELLIN,SUPERDRY,FEMENINO,BUZO,229900.0,1.0
PL145,PILATOS DE MODA PRIME OUTLET LC 227,NEW BALANCE,FEMENINO,TENIS,849900.0,2.0
PL131,PILATOS GRAN PLAZA IPIALES,CONVERSE,FEMENINO,TENIS,424950.0,6.0
PF744,PILATOS  LETICIA AMAZONAS,MARITHE FRANCOIS GIRBAUD,FEMENINO,CAMISETA,119900.0,3.0
ML222,NEW BALANCE MALL PLAZA CARTAGENA,NEW BALANCE,FEMENINO,TENIS,964900.0,1.0
PF729,PILATOS DORADA,CLEMONT,MASCULINO,CAMISETA,320000.0,4.0
PL11P,PILATOS ARBOLEDA,DIESEL ADULTO,MASCULINO,CAMISETA,399900.0,2.0
PL148,PILATOS ARKADIA MEDELLIN,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,449900.0,42.0
pf745,PILATOS VIVA TUNJA,SUPERDRY,MASCULINO,CHAQUETA,849900.0,1.0
PL107,PILATOS MALL PLAZA CARTAGENA,NEW BALANCE,UNISEX,TENIS,939900.0,1.0
CDEDM,CENTRO DE DISTRIBUCION EDM,SUPERDRY,FEMENINO,JEAN,339900.0,16.0
PL145,PILATOS DE MODA PRIME OUTLET LC 227,MONASTERY,MASCULINO,SUDADERA,750000.0,3.0
PL14P,PILATOS SAN NICOLAS RIONEGRO,MARITHE FRANCOIS GIRBAUD,MASCULINO,PANTALON,569900.0,4.0
ML409,DIESEL CHIPICHAPE CALI,DIESEL ADULTO,MASCULINO,JEAN,1099900.0,36.0
MLM07,MFG PLAZA FABRICATO BELLO,MARITHE FRANCOIS GIRBAUD,MASCULINO,PANTALON,299900.0,6.0
PO317,PILATOS UNICENTRO PEREIRA,CLEMONT,MASCULINO,CAMISETA,450000.0,3.0
PF172,PILATOS UNICENTRO YOPAL,REPLAY,MASCULINO,TENIS,799900.0,13.0
ML607,SUPERDRY DE MODA PRIME OUTLET LC 110,SUPERDRY,FEMENINO,VESTIDO,699900.0,9.0
ML409,DIESEL CHIPICHAPE CALI,DIESEL ADULTO,FEMENINO,TENIS,1649900.0,4.0
CDEDM,CENTRO DE DISTRIBUCION EDM,DIESEL ADULTO,FEMENINO,BUZO,1099900.0,19.0
ML411,DIESEL EL TESORO MEDELLIN,DIESEL ADULTO,MASCULINO,FRAGANCIA,329900.0,3.0
PL110,PILATOS JARDIN PLAZA CALI,DIESEL ADULTO,MASCULINO,ROPA INTERIOR,149900.0,2.0
ML211,NEW BALANCE MAYORCA SABANETA,NEW BALANCE,MASCULINO,MEDIAS,109900.0,7.0
PL151,PILATOS ACCESORIOS VIVA ENVIGADO,PILATOS,NO APLICA,MATERIAL DE EMPAQUE,1.0,2.0
