,Tienda,Marca,Genero,Tipo,Precio_Intervalo,Cantidad_Inventario,Porcentaje_Actual,Porcentaje_Ventas
152,PILATOS ACCESORIOS MALL PLAZA MANIZALES,ALPINESTARS,MASCULINO,GORRO,"[139400.0, 143500.0)",3.0,0.2,0.0625
153,PILATOS ACCESORIOS MALL PLAZA MANIZALES,ALPINESTARS,MASCULINO,GORRO,"[155800.0, 159941.0)",4.0,0.26666666666666666,0.03125
154,PILATOS ACCESORIOS PARQUE LA COLINA BOGO,ALPINESTARS,MASCULINO,GORRO,"[115900.0, 120900.0)",3.0,0.08823529411764706,0.32142857142857145
155,PILATOS ACCESORIOS PARQUE LA COLINA BOGO,ALPINESTARS,MASCULINO,GORRO,"[125900.0, 130900.0)",6.0,0.17647058823529413,0.2857142857142857
156,PILATOS ACCESORIOS PARQUE LA COLINA BOGO,ALPINESTARS,MASCULINO,GORRO,"[135900.0, 140900.0)",14.0,0.4117647058823529,0.14285714285714285
157,PILATOS ACCESORIOS PARQUE LA COLINA BOGO,ALPINESTARS,MASCULINO,GORRO,"[145900.0, 150900.0)",4.0,0.11764705882352941,0.14285714285714285
158,PILATOS ACCESORIOS PARQUE LA COLINA BOGO,ALPINESTARS,MASCULINO,GORRO,"[155900.0, 160900.0)",4.0,0.11764705882352941,0.03571428571428571
159,PILATOS ACCESORIOS PARQUE LA COLINA BOGO,ALPINESTARS,MASCULINO,GORRO,"[160900.0, 165950.0)",1.0,0.029411764705882353,0.03571428571428571
160,PILATOS ACCESORIOS PUERTA DEL NORTE BELL,ALPINESTARS,MASCULINO,GORRO,"[125900.0, 129300.0)",1.0,0.07142857142857142,0.19444444444444445
161,PILATOS ACCESORIOS PUERTA DEL NORTE BELL,ALPINESTARS,MASCULINO,GORRO,"[132700.0, 136100.0)",3.0,0.21428571428571427,0.3472222222222222
