CO,almacen_bodegaedm,almacen_descri,almacen_grupo_canal,almacen_formato_crm
730,FQ730,PILATOS SANTA ROSA,Pilatos,Franquicia
728,FQ728,SUPERDRY PASTO,Superdry,Franquicia
731,FQ731,PILATOS LA HERRADURA TULUA,Pilatos,Franquicia
P04,PLP04,PILATOS ACCESORIOS PARQUE LA COLINA BOGO,Pilatos,Linea
P05,PLP05,PILATOS JEANS ANDINO BOGOTA,Pilatos,Linea
M02,MLM02,MFG OVIEDO MEDELLIN,MFG,Linea
732,FQ732,PILATOS CC PLAZA BARCELONA SOGAMOSO,Pilatos,Franquicia
M05,MLM05,MFG MULTIPLAZA LA FELICIDAD BOGOTA,MFG,Linea
734,FQ734,PILATOS FUSAGASUGA,Pilatos,Franquicia
M03,MLM03,MFG CARACOLI BUCARAMANGA,MFG,Linea
736,FQ736,PILATOS MULTICENTRO IBAGUE,Pilatos,Franquicia
737,FQ737,PILATOS LA ESTACION IBAGUE,Pilatos,Franquicia
M07,MLM07,MFG PLAZA FABRICATO BELLO,MFG,Linea
224,ML224,NEW BALANCE PLAZA FABRICATO BELLO,NewBalance,Linea
M06,MLM06,MFG VIVA BARRANQUILLA,MFG,Linea
735,FQ735,PILATOS NUESTRO URABÁ,Pilatos,Franquicia
739,FQ739,MFG FUNDADORES MANIZALES,MFG,Franquicia
741,FQ741,MFG IPIALES,MFG,Franquicia
16P,PL16P,PILATOS MALL PLAZA CALI,Pilatos,Linea
334,PL334,PILATOS OUTLET CHAPINERO,Pilatos,Outlet
17P,PL17P,PILATOS ACCESORIOS SAN NICOLAS RIONEGRO,Pilatos,Linea
630,ML630,SUPERDRY SAN NICOLAS RIONEGRO,Superdry,Linea
742,FQ742,MFG CACIQUE,MFG,Franquicia
744,FQ744,PILATOS  LETICIA AMAZONAS,Pilatos,Franquicia
488,ML488,DIESEL CENTRO COMERCIAL EL EDÉN,Diesel,Outlet
625,ML625,SUPERDRY FLORIDA PARQUE COMERCIAL,Superdry,Linea
669,ML669,KIPLING CENTRO COMERCIAL EL EDÉN,Kipling,Outlet
P06,PLP06,PILATOS FLORIDA PARQUE COMERCIAL,Pilatos,Linea
18P,PL18P,PILATOS UNICO BUCARAMANGA,Pilatos,Mixta
P03,PLP03,PILATOS BARRANQUILLA,Pilatos,Outlet
P09,PLP09,PILATOS (EVACUACIÓN VENTA DE BODEGA) BOG,,
745,FQ745,PILATOS VIVA TUNJA,Pilatos,Franquicia
CH1,CDEDM,CHOPPER ONLINE,,
P10,PLP10,PILATOS MULTICENTRO IBAGUE,,
BC2,BBC2 ,BROKEN CHAINS BOGOTA,,
BC3,BBC3 ,BROKEN CHAINS CALI,,
BC4,BBC4 ,BROKEN CHAINS PEREIRA,,
BC5,CDEDM,BROKEN CHAINS ONLINE,,
P15,PLP15,PILATOS NUESTRO ATLANTICO,,
M13,MLM13,MFG FUNDADORES MANIZALES,,
MV1,BMV1 ,MOVIL EVENTO,,
MV2,BMV2 ,MOVIL EVENTO,,
P13,PLP13,PILATOS UNICO CALI 2,Pilatos,Linea
746,FQ746,PILATOS PRIMAVERA URBANA VILLAVICENCIO,Pilatos,Linea
335,PL335,PILATOS OUTLET AMERICAS 2 BOGOTA,Pilatos,Outlet
P16,PLP16,PILATOS MALL PLAZA BARRANQUILLA,Pilatos,Linea
956,ML956,REPLAY EDEN BOGOTA,Replay,Linea
740,FQ740,PILATOS CARTAGO,Pilatos,Franquicia
M08,MLM08,MFG BUENAVISTA BARRANQUILLA,MFG,Linea
M09,MLM09,MFG CHIPICHAPE CALI,MFG,Linea
M10,MLM10,MFG SAN NICOLAS RIONEGRO,MFG,Linea
225,ML225,NEW BALANCE FLORIDA PARQUE COMERCIAL,NewBalance,Linea
226,ML226,NEW BALANCE CENTRO COMERCIAL EL EDÉN,,
626,ML626,SUPERDRY CENTRO COMERCIAL EL EDÉN,Superdry,Outlet
M11,MLM11,MFG FLORIDA PARQUE COMERCIAL,MFG,Linea
M12,MLM12,MFG CENTRO COMERCIAL EL EDÉN,MFG,Outlet
P08,PLP08,PILATOS CENTRO COMERCIAL EL EDÉN,Pilatos,Outlet
BC1,BBC1 ,BROKEN CHAINS MEDELLIN,,
19P,PL19P,PILATOS LA HERRADURA TULUA,Pilatos,Linea
P14,PLP14,PILATOS NUESTRO MONTERIA,Pilatos,Outlet
